left_im,right_im,leftori,rightori,same,corrAns,angle,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Intructions_1.started,instr_key_1.started,instr_textbox1.started,Intructions_1.stopped,instr_key_1.keys,instr_key_1.rt,instr_key_1.duration,Intructions_2.started,image_L_3.started,image_R_3.started,dir_cue.started,instr_key_2.started,instrtxt2.started,Intructions_2.stopped,instructions_3.started,image_L_4.started,image_R_4.started,dir_cue_2.started,instr_key.started,instrtxt3.started,instructions_3.stopped,start.started,key_instruct.started,start.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,trial.started,image_L.started,image_R.started,DirCue.started,key_resp.started,main_instr.started,trial_count.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,feedback.started,fbtext.started,feedback.stopped,fbtext.stopped,the_end.started,end_txt.started,end_key.started,the_end.stopped,session,participant,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,0.010315106002963148,0.024977232998935506,0.024977232998935506,2.375621110004431,m,2.215090567005973,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003,CM090226,2026-02-09_17h07.17.547,TestMentalRotation,,2025.1.1,119.78085755822842,2026-02-09 17h07.40.822314 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3958284840045962,2.4346350569976494,2.4346350569976494,2.4346350569976494,2.4346350569976494,2.4346350569976494,3.7716015850019176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003,CM090226,2026-02-09_17h07.17.547,TestMentalRotation,,2025.1.1,119.78085755822842,2026-02-09 17h07.40.822314 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.790340063998883,3.8073917939982493,3.8073917939982493,3.8073917939982493,3.8073917939982493,3.8073917939982493,5.706131487997482,,,,,,,,,,,,,,,,,,,,,,,,,,,003,CM090226,2026-02-09_17h07.17.547,TestMentalRotation,,2025.1.1,119.78085755822842,2026-02-09 17h07.40.822314 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.70616074300051,5.717750306001108,9.56379449099768,space,3.8423013640058343,None,,,,,,,,,,,,,,,,,,,,,003,CM090226,2026-02-09_17h07.17.547,TestMentalRotation,,2025.1.1,119.78085755822842,2026-02-09 17h07.40.822314 +0000,
3_z_160_a.jpg,3_z_160_b.jpg,0,40,n,m,40,0,0,0,m,1,4.977857647005294,None,0,0,0,22,9.742113890999462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.725277151999762,9.742113890999462,9.742113890999462,9.742113890999462,9.742113890999462,9.742113890999462,9.742113890999462,14.724956468002347,m,1,4.977857647005294,None,14.727888991998043,14.73651782199886,15.22536777100322,,,,,,003,CM090226,2026-02-09_17h07.17.547,TestMentalRotation,,2025.1.1,119.78085755822842,2026-02-09 17h07.40.822314 +0000,
3_z_160_b.jpg,3_z_160_b.jpg,0,120,y,n,120,1,1,0,n,1,2.4560401220005588,None,0,1,1,31,15.39201690700429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.372333703002369,15.39201690700429,15.39201690700429,15.39201690700429,15.39201690700429,15.39201690700429,15.39201690700429,17.850447846998577,n,1,2.4560401220005588,None,17.85073067700432,17.859009027997672,18.342452388998936,18.508990688998892,,,,,003,CM090226,2026-02-09_17h07.17.547,TestMentalRotation,,2025.1.1,119.78085755822842,2026-02-09 17h07.40.822314 +0000,
4_z_310_b.jpg,4_z_310_a.jpg,0,160,n,m,160,2,2,0,m,1,2.1390561900043394,None,0,2,2,17,18.508990688998892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.48929420600325,18.508990688998892,18.508990688998892,18.508990688998892,18.508990688998892,18.508990688998892,18.508990688998892,20.651691537997976,m,1,2.1390561900043394,None,20.651974173997587,20.66031004099932,21.14375758099777,21.309823438998137,,,,,003,CM090226,2026-02-09_17h07.17.547,TestMentalRotation,,2025.1.1,119.78085755822842,2026-02-09 17h07.40.822314 +0000,
5_z_340_b.jpg,5_z_340_b.jpg,0,100,y,n,100,3,3,0,n,1,2.5461734419950517,None,0,3,3,46,21.309823438998137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.290334500001336,21.309823438998137,21.309823438998137,21.309823438998137,21.309823438998137,21.309823438998137,21.309823438998137,23.861283388003358,n,1,2.5461734419950517,None,23.861573244001193,23.86980942000082,24.360813544997654,24.527648265000607,,,,,003,CM090226,2026-02-09_17h07.17.547,TestMentalRotation,,2025.1.1,119.78085755822842,2026-02-09 17h07.40.822314 +0000,
2_z_145_b.jpg,2_z_145_b.jpg,0,40,y,n,40,4,4,0,n,1,1.0723949909952353,None,0,4,4,59,24.527648265000607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.505425242001365,24.527648265000607,24.527648265000607,24.527648265000607,24.527648265000607,24.527648265000607,24.527648265000607,25.6033519670018,n,1,1.0723949909952353,None,25.603635571002087,25.611862933001248,26.095433857997705,26.261390220002795,,,,,003,CM090226,2026-02-09_17h07.17.547,TestMentalRotation,,2025.1.1,119.78085755822842,2026-02-09 17h07.40.822314 +0000,
5_z_340_a.jpg,5_z_340_a.jpg,0,100,y,n,100,5,5,0,n,1,1.6826800320050097,None,0,5,5,11,26.261390220002795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.241583907998574,26.261390220002795,26.261390220002795,26.261390220002795,26.261390220002795,26.261390220002795,26.261390220002795,27.94580079700245,n,1,1.6826800320050097,None,27.946087533004174,27.954424739000387,28.445612565003103,28.611868189000234,,,,,003,CM090226,2026-02-09_17h07.17.547,TestMentalRotation,,2025.1.1,119.78085755822842,2026-02-09 17h07.40.822314 +0000,
