left_im,right_im,leftori,rightori,same,corrAns,angle,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Intructions_1.started,instr_key_1.started,instr_textbox1.started,Intructions_1.stopped,instr_key_1.keys,instr_key_1.rt,instr_key_1.duration,Intructions_2.started,image_L_3.started,image_R_3.started,dir_cue.started,instr_key_2.started,instrtxt2.started,Intructions_2.stopped,instructions_3.started,image_L_4.started,image_R_4.started,dir_cue_2.started,instr_key.started,instrtxt3.started,instructions_3.stopped,start.started,key_instruct.started,start.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,trial.started,image_L.started,image_R.started,DirCue.started,key_resp.started,main_instr.started,trial_count.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,feedback.started,fbtext.started,fbtext.stopped,feedback.stopped,the_end.started,end_txt.started,end_key.started,the_end.stopped,session,participant,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,0.010305709991371259,0.025040595995960757,0.025040595995960757,14.376592259999597,m,14.208341941004619,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003,TS180226,2026-02-18_13h56.30.882,TestMentalRotation,,2025.1.1,119.88835179636182,2026-02-18 13h56.47.976556 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,14.40253516699886,14.438733057002537,14.438733057002537,14.438733057002537,14.438733057002537,14.438733057002537,17.125530463003088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003,TS180226,2026-02-18_13h56.30.882,TestMentalRotation,,2025.1.1,119.88835179636182,2026-02-18 13h56.47.976556 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.14882842199586,17.165090976995998,17.165090976995998,17.165090976995998,17.165090976995998,17.165090976995998,22.539731288998155,,,,,,,,,,,,,,,,,,,,,,,,,,,003,TS180226,2026-02-18_13h56.30.882,TestMentalRotation,,2025.1.1,119.88835179636182,2026-02-18 13h56.47.976556 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.53976148700167,22.550244311001734,24.01869300000544,space,1.4672121579933446,None,,,,,,,,,,,,,,,,,,,,,003,TS180226,2026-02-18_13h56.30.882,TestMentalRotation,,2025.1.1,119.88835179636182,2026-02-18 13h56.47.976556 +0000,
1_z_140_b.jpg,1_z_140_b.jpg,0,160,y,n,160,0,0,0,m,0,6.05426632099261,None,0,0,0,52,24.211182908999035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.185703253999236,24.211182908999035,24.211182908999035,24.211182908999035,24.211182908999035,24.211182908999035,24.211182908999035,30.2709183160041,m,0,6.05426632099261,None,30.27336021300289,30.283193761992152,30.946447483001975,30.7701608609932,,,,,003,TS180226,2026-02-18_13h56.30.882,TestMentalRotation,,2025.1.1,119.88835179636182,2026-02-18 13h56.47.976556 +0000,
2_z_145_b.jpg,2_z_145_a.jpg,0,120,n,m,120,1,1,0,n,0,1.1429981409892207,None,0,1,1,67,30.946447483001975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.92431482199754,30.946447483001975,30.946447483001975,30.946447483001975,30.946447483001975,30.946447483001975,30.946447483001975,32.09696150899981,n,0,1.1429981409892207,None,32.09725024100044,32.105419760002405,32.76333463100309,32.58810092200292,,,,,003,TS180226,2026-02-18_13h56.30.882,TestMentalRotation,,2025.1.1,119.88835179636182,2026-02-18 13h56.47.976556 +0000,
4_z_310_b.jpg,4_z_310_a.jpg,0,160,n,m,160,2,2,0,n,0,2.934087482004543,None,0,2,2,17,32.76333463100309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.743853499996476,32.76333463100309,32.76333463100309,32.76333463100309,32.76333463100309,32.76333463100309,32.76333463100309,35.69830887600256,n,0,2.934087482004543,None,35.698743515997194,35.706894661998376,36.36463730299147,36.19793631399807,,,,,003,TS180226,2026-02-18_13h56.30.882,TestMentalRotation,,2025.1.1,119.88835179636182,2026-02-18 13h56.47.976556 +0000,
5_z_340_b.jpg,5_z_340_b.jpg,0,100,y,n,100,3,3,0,n,1,2.532763901006547,None,0,3,3,46,36.36463730299147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.34467636399495,36.36463730299147,36.36463730299147,36.36463730299147,36.36463730299147,36.36463730299147,36.36463730299147,38.89955303099123,n,1,2.532763901006547,None,38.90244963800069,38.91077934700297,39.56599235799513,39.399219564002124,,,,,003,TS180226,2026-02-18_13h56.30.882,TestMentalRotation,,2025.1.1,119.88835179636182,2026-02-18 13h56.47.976556 +0000,
5_z_340_b.jpg,5_z_340_b.jpg,0,20,y,n,20,4,4,0,n,1,1.6354471919912612,None,0,4,4,3,39.56599235799513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.544638709994615,39.56599235799513,39.56599235799513,39.56599235799513,39.56599235799513,39.56599235799513,39.56599235799513,41.20751878900046,n,1,1.6354471919912612,None,41.20781349900062,41.21617147799407,41.86699373599549,41.69952885300154,,,,,003,TS180226,2026-02-18_13h56.30.882,TestMentalRotation,,2025.1.1,119.88835179636182,2026-02-18 13h56.47.976556 +0000,
1_z_140_a.jpg,1_z_140_b.jpg,0,140,n,m,140,5,5,0,m,1,2.270450254000025,None,0,5,5,68,41.86699373599549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.85069644199393,41.86699373599549,41.86699373599549,41.86699373599549,41.86699373599549,41.86699373599549,41.86699373599549,44.14208792100544,m,1,2.270450254000025,None,44.142379130003974,44.15070008399198,44.80042797699571,44.63419638799678,,,,,003,TS180226,2026-02-18_13h56.30.882,TestMentalRotation,,2025.1.1,119.88835179636182,2026-02-18 13h56.47.976556 +0000,
1_z_140_a.jpg,1_z_140_b.jpg,0,140,n,m,140,6,6,0,m,1,2.0730792389949784,None,0,6,6,14,44.80042797699571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.780271993993665,44.80042797699571,44.80042797699571,44.80042797699571,44.80042797699571,44.80042797699571,44.80042797699571,46.875803838993306,m,1,2.0730792389949784,None,46.876094958002795,46.88442397399922,47.53475588299625,47.368739647994516,,,,,003,TS180226,2026-02-18_13h56.30.882,TestMentalRotation,,2025.1.1,119.88835179636182,2026-02-18 13h56.47.976556 +0000,
4_z_310_a.jpg,4_z_310_b.jpg,0,60,n,m,60,7,7,0,m,1,2.026686493991292,None,0,7,7,6,47.53475588299625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.51498687999265,47.53475588299625,47.53475588299625,47.53475588299625,47.53475588299625,47.53475588299625,47.53475588299625,49.56952259899117,m,1,2.026686493991292,None,49.569813480993616,49.57811564300209,50.235725453996565,50.06905515100516,,,,,003,TS180226,2026-02-18_13h56.30.882,TestMentalRotation,,2025.1.1,119.88835179636182,2026-02-18 13h56.47.976556 +0000,
