left_im,right_im,leftori,rightori,same,corrAns,angle,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Intructions_1.started,instr_key_1.started,instr_textbox1.started,Intructions_1.stopped,instr_key_1.keys,instr_key_1.rt,instr_key_1.duration,Intructions_2.started,image_L_3.started,image_R_3.started,dir_cue.started,instr_key_2.started,instrtxt2.started,Intructions_2.stopped,instructions_3.started,image_L_4.started,image_R_4.started,dir_cue_2.started,instr_key.started,instrtxt3.started,instructions_3.stopped,start.started,key_instruct.started,start.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,trial.started,image_L.started,image_R.started,DirCue.started,key_resp.started,main_instr.started,trial_count.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,feedback.started,fbtext.started,feedback.stopped,fbtext.stopped,the_end.started,end_txt.started,end_key.started,the_end.stopped,session,participant,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,0.011316821910440922,0.026023963931947947,0.026023963931947947,16.246679777977988,m,16.218493259046227,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,JM281125,2025-11-28_13h40.59.983,CuedMentalRotation,,2025.1.1,120.76287730444633,2025-11-28 13h41.14.878112 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,16.26704030088149,16.288154806941748,16.288154806941748,16.288154806941748,16.288154806941748,16.288154806941748,30.69420759100467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,JM281125,2025-11-28_13h40.59.983,CuedMentalRotation,,2025.1.1,120.76287730444633,2025-11-28 13h41.14.878112 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.71337483287789,30.73029541806318,30.73029541806318,30.73029541806318,30.73029541806318,30.73029541806318,34.98588527389802,,,,,,,,,,,,,,,,,,,,,,,,,,,001,JM281125,2025-11-28_13h40.59.983,CuedMentalRotation,,2025.1.1,120.76287730444633,2025-11-28 13h41.14.878112 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.985916221980006,34.99744814983569,37.06937618693337,space,2.062991043087095,None,,,,,,,,,,,,,,,,,,,,,001,JM281125,2025-11-28_13h40.59.983,CuedMentalRotation,,2025.1.1,120.76287730444633,2025-11-28 13h41.14.878112 +0000,
1_z_140_b.jpg,1_z_140_a.jpg,0,160,n,m,160,0,0,0,m,1,26.23927516094409,None,0,0,0,16,37.2531731298659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.23051374894567,37.2531731298659,37.2531731298659,37.2531731298659,37.2531731298659,37.2531731298659,37.2531731298659,63.494035365991294,m,1,26.23927516094409,None,63.49691703193821,63.513699954841286,63.99446411198005,,,,,,001,JM281125,2025-11-28_13h40.59.983,CuedMentalRotation,,2025.1.1,120.76287730444633,2025-11-28 13h41.14.878112 +0000,
2_z_145_a.jpg,2_z_145_b.jpg,0,140,n,m,140,1,1,0,m,1,8.267490674974397,None,0,1,1,51,64.16096320189536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.14319715905003,64.16096320189536,64.16096320189536,64.16096320189536,64.16096320189536,64.16096320189536,64.16096320189536,72.43020243896171,m,1,8.267490674974397,None,72.43048619385809,72.43874238594435,72.92982652503997,73.09714685403742,,,,,001,JM281125,2025-11-28_13h40.59.983,CuedMentalRotation,,2025.1.1,120.76287730444633,2025-11-28 13h41.14.878112 +0000,
4_z_310_a.jpg,4_z_310_b.jpg,0,60,n,m,60,2,2,0,n,0,2.9632125401403755,None,0,2,2,6,73.09714685403742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.0767234058585,73.09714685403742,73.09714685403742,73.09714685403742,73.09714685403742,73.09714685403742,73.09714685403742,76.06503998604603,n,0,2.9632125401403755,None,76.06783894705586,76.07640688004903,76.56461784103885,76.7309477289673,,,,,001,JM281125,2025-11-28_13h40.59.983,CuedMentalRotation,,2025.1.1,120.76287730444633,2025-11-28 13h41.14.878112 +0000,
4_z_310_a.jpg,4_z_310_a.jpg,0,60,y,n,60,3,3,0,n,1,3.841493756044656,None,0,3,3,61,76.7309477289673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.71094630891457,76.7309477289673,76.7309477289673,76.7309477289673,76.7309477289673,76.7309477289673,76.7309477289673,80.57410844299011,n,1,3.841493756044656,None,80.5757988919504,80.5998093909584,81.08276610192843,,,,,,001,JM281125,2025-11-28_13h40.59.983,CuedMentalRotation,,2025.1.1,120.76287730444633,2025-11-28 13h41.14.878112 +0000,
1_z_140_a.jpg,1_z_140_a.jpg,0,160,y,n,160,4,4,0,n,1,4.195408619008958,None,0,4,4,35,81.24904594291002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.22914320486598,81.24904594291002,81.24904594291002,81.24904594291002,81.24904594291002,81.24904594291002,81.24904594291002,85.45156085095368,n,1,4.195408619008958,None,85.45184716605581,85.4599659559317,85.9508559210226,86.11725394800305,,,,,001,JM281125,2025-11-28_13h40.59.983,CuedMentalRotation,,2025.1.1,120.76287730444633,2025-11-28 13h41.14.878112 +0000,
5_z_340_a.jpg,5_z_340_b.jpg,0,140,n,m,140,5,5,0,m,1,6.471194162964821,None,0,5,5,15,86.11725394800305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.09738727402873,86.11725394800305,86.11725394800305,86.11725394800305,86.11725394800305,86.11725394800305,86.11725394800305,92.5940807708539,m,1,6.471194162964821,None,92.59437200706452,92.60263433796354,93.08606364601292,93.25293325190432,,,,,001,JM281125,2025-11-28_13h40.59.983,CuedMentalRotation,,2025.1.1,120.76287730444633,2025-11-28 13h41.14.878112 +0000,
2_z_145_b.jpg,2_z_145_a.jpg,0,120,n,m,120,6,6,0,m,1,3.8715153480879962,None,0,6,6,67,93.25293325190432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.23259019292891,93.25293325190432,93.25293325190432,93.25293325190432,93.25293325190432,93.25293325190432,93.25293325190432,97.1290300260298,m,1,3.8715153480879962,None,97.12931941286661,97.13759484700859,97.62104380689561,97.78815261484124,,,,,001,JM281125,2025-11-28_13h40.59.983,CuedMentalRotation,,2025.1.1,120.76287730444633,2025-11-28 13h41.14.878112 +0000,
3_z_160_b.jpg,3_z_160_b.jpg,0,100,y,n,100,7,7,0,n,1,4.416293199872598,None,0,7,7,29,97.78815261484124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.76762375701219,97.78815261484124,97.78815261484124,97.78815261484124,97.78815261484124,97.78815261484124,97.78815261484124,102.20611167699099,n,1,4.416293199872598,None,102.20640078093857,102.21475592791103,102.70586033398286,102.87223592004739,,,,,001,JM281125,2025-11-28_13h40.59.983,CuedMentalRotation,,2025.1.1,120.76287730444633,2025-11-28 13h41.14.878112 +0000,
3_z_160_b.jpg,3_z_160_b.jpg,0,120,y,n,120,8,8,0,n,1,5.796210545115173,None,0,8,8,12,102.87223592004739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.85192497796379,102.87223592004739,102.87223592004739,102.87223592004739,102.87223592004739,102.87223592004739,102.87223592004739,108.67478162585758,n,1,5.796210545115173,None,108.67507155495696,108.6833650819026,109.16594974184409,109.33828808995895,,,,,001,JM281125,2025-11-28_13h40.59.983,CuedMentalRotation,,2025.1.1,120.76287730444633,2025-11-28 13h41.14.878112 +0000,
4_z_310_b.jpg,4_z_310_b.jpg,0,40,y,n,40,9,9,0,n,1,3.146044306922704,None,0,9,9,58,109.33828808995895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.31299382494763,109.33828808995895,109.33828808995895,109.33828808995895,109.33828808995895,109.33828808995895,109.33828808995895,112.4927649248857,n,1,3.146044306922704,None,112.49306046497077,112.50127772986889,112.99235234805383,113.15953719988465,,,,,001,JM281125,2025-11-28_13h40.59.983,CuedMentalRotation,,2025.1.1,120.76287730444633,2025-11-28 13h41.14.878112 +0000,
4_z_310_a.jpg,4_z_310_b.jpg,0,0,n,m,0,10,10,0,m,1,12.676906583830714,None,0,10,10,37,113.15953719988465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.1385686560534,113.15953719988465,113.15953719988465,113.15953719988465,113.15953719988465,113.15953719988465,113.15953719988465,125.8381364189554,m,1,12.676906583830714,None,125.83842583489604,125.84674292500131,126.33017177390866,126.49708365090191,,,,,001,JM281125,2025-11-28_13h40.59.983,CuedMentalRotation,,2025.1.1,120.76287730444633,2025-11-28 13h41.14.878112 +0000,
2_z_145_a.jpg,2_z_145_a.jpg,0,120,y,n,120,11,11,0,n,1,3.171364254085347,None,0,11,11,66,126.49708365090191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.47647354798391,126.49708365090191,126.49708365090191,126.49708365090191,126.49708365090191,126.49708365090191,126.49708365090191,129.67292176792398,n,1,3.171364254085347,None,129.67321533104405,129.681509769056,130.16493632504717,130.33158884686418,,,,,001,JM281125,2025-11-28_13h40.59.983,CuedMentalRotation,,2025.1.1,120.76287730444633,2025-11-28 13h41.14.878112 +0000,
2_z_145_a.jpg,2_z_145_a.jpg,0,80,y,n,80,12,12,0,n,1,2.488850387977436,None,0,12,12,26,130.33158884686418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.31130120297894,130.33158884686418,130.33158884686418,130.33158884686418,130.33158884686418,130.33158884686418,130.33158884686418,132.82332140486687,n,1,2.488850387977436,None,132.8236041739583,132.83191910688765,133.31528165587224,133.48236453603022,,,,,001,JM281125,2025-11-28_13h40.59.983,CuedMentalRotation,,2025.1.1,120.76287730444633,2025-11-28 13h41.14.878112 +0000,
