left_im,right_im,leftori,rightori,same,corrAns,angle,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Intructions_1.started,instr_key_1.started,instr_textbox1.started,Intructions_1.stopped,instr_key_1.keys,instr_key_1.rt,instr_key_1.duration,Intructions_2.started,image_L_3.started,image_R_3.started,dir_cue.started,instr_key_2.started,instrtxt2.started,Intructions_2.stopped,instructions_3.started,image_L_4.started,image_R_4.started,dir_cue_2.started,instr_key.started,instrtxt3.started,instructions_3.stopped,start.started,key_instruct.started,start.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,trial.started,image_L.started,image_R.started,DirCue.started,key_resp.started,main_instr.started,trial_count.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,feedback.started,fbtext.started,fbtext.stopped,feedback.stopped,the_end.started,end_txt.started,end_key.started,the_end.stopped,session,participant,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,0.010824086000013722,0.025725259000012102,0.025725259000012102,21.352102151999986,m,21.106565142999955,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,MM02022026,2026-02-02_16h07.02.831,TestMentalRotation,,2025.1.1,119.81038903674184,2026-02-02 16h08.02.387146 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,21.381808425999964,21.418832629000008,21.418832629000008,21.418832629000008,21.418832629000008,21.418832629000008,36.447574594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,MM02022026,2026-02-02_16h07.02.831,TestMentalRotation,,2025.1.1,119.81038903674184,2026-02-02 16h08.02.387146 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.470745142,36.48774024699998,36.48774024699998,36.48774024699998,36.48774024699998,36.48774024699998,42.128365051,,,,,,,,,,,,,,,,,,,,,,,,,,,001,MM02022026,2026-02-02_16h07.02.831,TestMentalRotation,,2025.1.1,119.81038903674184,2026-02-02 16h08.02.387146 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.128396167999995,42.13951372499997,46.61308440799996,space,4.464776649999976,None,,,,,,,,,,,,,,,,,,,,,001,MM02022026,2026-02-02_16h07.02.831,TestMentalRotation,,2025.1.1,119.81038903674184,2026-02-02 16h08.02.387146 +0000,
1_z_140_b.jpg,1_z_140_a.jpg,0,140,n,m,140,0,0,0,n,0,5.661501070999975,None,0,0,0,50,46.814734027999975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.798780033000014,46.814734027999975,46.814734027999975,46.814734027999975,46.814734027999975,46.814734027999975,46.814734027999975,52.48130290199998,n,0,5.661501070999975,None,52.483857580999995,52.49226816699996,53.146955211999966,52.980934821000005,,,,,001,MM02022026,2026-02-02_16h07.02.831,TestMentalRotation,,2025.1.1,119.81038903674184,2026-02-02 16h08.02.387146 +0000,
5_z_340_b.jpg,5_z_340_b.jpg,0,40,y,n,40,1,1,0,n,1,2.8732507149999833,None,0,1,1,5,53.146955211999966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.12282984199999,53.146955211999966,53.146955211999966,53.146955211999966,53.146955211999966,53.146955211999966,53.146955211999966,56.022838003000004,n,1,2.8732507149999833,None,56.02555669499998,56.03532381299999,,56.523093716999995,,,,,001,MM02022026,2026-02-02_16h07.02.831,TestMentalRotation,,2025.1.1,119.81038903674184,2026-02-02 16h08.02.387146 +0000,
1_z_140_b.jpg,1_z_140_a.jpg,0,40,n,m,40,2,2,0,m,1,3.5540671549999843,None,0,2,2,41,56.68221492399999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.66460452499996,56.68221492399999,56.68221492399999,56.68221492399999,56.68221492399999,56.68221492399999,56.68221492399999,60.24100113700001,m,1,3.5540671549999843,None,60.24128489599997,60.249464397,60.897617536999974,60.732917164000014,,,,,001,MM02022026,2026-02-02_16h07.02.831,TestMentalRotation,,2025.1.1,119.81038903674184,2026-02-02 16h08.02.387146 +0000,
5_z_340_b.jpg,5_z_340_a.jpg,0,60,n,m,60,3,3,0,n,0,1.6426100310000038,None,0,3,3,25,60.897617536999974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.87442176799999,60.897617536999974,60.897617536999974,60.897617536999974,60.897617536999974,60.897617536999974,60.897617536999974,62.54230216600001,n,0,1.6426100310000038,None,62.54405489999999,62.56765152700001,,63.050661966999996,,,,,001,MM02022026,2026-02-02_16h07.02.831,TestMentalRotation,,2025.1.1,119.81038903674184,2026-02-02 16h08.02.387146 +0000,
3_z_160_a.jpg,3_z_160_b.jpg,0,20,n,m,20,4,4,0,m,1,3.3388187030000154,None,0,4,4,20,63.21746214399997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.19547719899998,63.21746214399997,63.21746214399997,63.21746214399997,63.21746214399997,63.21746214399997,63.21746214399997,66.560399394,m,1,3.3388187030000154,None,66.56207364099998,66.58589860199999,,67.068840109,,,,,001,MM02022026,2026-02-02_16h07.02.831,TestMentalRotation,,2025.1.1,119.81038903674184,2026-02-02 16h08.02.387146 +0000,
2_z_145_a.jpg,2_z_145_b.jpg,0,80,n,m,80,5,5,0,n,0,2.3212824469999873,None,0,5,5,62,67.23499573800001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.215450465,67.23499573800001,67.23499573800001,67.23499573800001,67.23499573800001,67.23499573800001,67.23499573800001,69.56073488699997,n,0,2.3212824469999873,None,69.562778836,69.58638033599999,,70.06923131799999,,,,,001,MM02022026,2026-02-02_16h07.02.831,TestMentalRotation,,2025.1.1,119.81038903674184,2026-02-02 16h08.02.387146 +0000,
