Angle,ReactionTime_s,trials.key_resp.corr,ID,SourceFile,ReactionTime_ms
0.0,1.903360239986796,1.0,AL240226,AL240226_001_2026-02-24_15h14.11.590.csv,1903.360239986796
0.0,12.185046642000088,1.0,AL240226,AL240226_001_2026-02-24_15h14.11.590.csv,12185.046642000088
0.0,2.735995096008992,1.0,AL240226,AL240226_001_2026-02-24_15h14.11.590.csv,2735.995096008992
0.0,1.9574951819959097,1.0,AL240226,AL240226_001_2026-02-24_15h14.11.590.csv,1957.4951819959097
0.0,1.7554213860130403,1.0,AL240226,AL240226_001_2026-02-24_15h14.11.590.csv,1755.4213860130403
0.0,2.944580756011419,1.0,AL240226,AL240226_001_2026-02-24_15h14.11.590.csv,2944.580756011419
0.0,17.516444179986138,1.0,AL240226,AL240226_001_2026-02-24_15h14.11.590.csv,17516.444179986138
0.0,1.6785366740077734,1.0,AL240226,AL240226_001_2026-02-24_15h14.11.590.csv,1678.5366740077734
0.0,1.614565818978008,1.0,AL240226,AL240226_001_2026-02-24_15h14.11.590.csv,1614.565818978008
0.0,1.4216863790061325,1.0,AL240226,AL240226_001_2026-02-24_15h14.11.590.csv,1421.6863790061325
0.0,4.351925133989425,1.0,AL240226,AL240226_001_2026-02-24_15h14.11.590.csv,4351.925133989425
0.0,4.975136752007529,1.0,AL240226,AL240226_001_2026-02-24_15h14.11.590.csv,4975.136752007529
0.0,1.1800561489944812,1.0,AL240226,AL240226_001_2026-02-24_15h14.11.590.csv,1180.0561489944812
20.0,3.2800217009789776,1.0,AL240226,AL240226_001_2026-02-24_15h14.11.590.csv,3280.0217009789776
20.0,3.927550134016201,1.0,AL240226,AL240226_001_2026-02-24_15h14.11.590.csv,3927.550134016201
20.0,3.3405363770143595,1.0,AL240226,AL240226_001_2026-02-24_15h14.11.590.csv,3340.5363770143595
20.0,2.987688908004202,1.0,AL240226,AL240226_001_2026-02-24_15h14.11.590.csv,2987.688908004202
20.0,8.560558795026736,1.0,AL240226,AL240226_001_2026-02-24_15h14.11.590.csv,8560.558795026736
20.0,3.607675475999713,1.0,AL240226,AL240226_001_2026-02-24_15h14.11.590.csv,3607.675475999713
20.0,3.668171740981052,1.0,AL240226,AL240226_001_2026-02-24_15h14.11.590.csv,3668.171740981052
20.0,4.168812477000756,1.0,AL240226,AL240226_001_2026-02-24_15h14.11.590.csv,4168.812477000756
20.0,1.6040527620061766,1.0,AL240226,AL240226_001_2026-02-24_15h14.11.590.csv,1604.0527620061766
20.0,1.5021317549981177,1.0,AL240226,AL240226_001_2026-02-24_15h14.11.590.csv,1502.1317549981177
20.0,19.800545738980873,1.0,AL240226,AL240226_001_2026-02-24_15h14.11.590.csv,19800.545738980873
20.0,1.4019485709723083,1.0,AL240226,AL240226_001_2026-02-24_15h14.11.590.csv,1401.9485709723083
20.0,2.60797921998892,1.0,AL240226,AL240226_001_2026-02-24_15h14.11.590.csv,2607.97921998892
20.0,1.9250305570021735,1.0,AL240226,AL240226_001_2026-02-24_15h14.11.590.csv,1925.0305570021735
20.0,2.0540884420042858,1.0,AL240226,AL240226_001_2026-02-24_15h14.11.590.csv,2054.0884420042858
40.0,4.413936422992265,1.0,AL240226,AL240226_001_2026-02-24_15h14.11.590.csv,4413.936422992265
40.0,2.96023288401193,1.0,AL240226,AL240226_001_2026-02-24_15h14.11.590.csv,2960.23288401193
40.0,2.9072506930097006,1.0,AL240226,AL240226_001_2026-02-24_15h14.11.590.csv,2907.2506930097006
40.0,6.217703006986994,1.0,AL240226,AL240226_001_2026-02-24_15h14.11.590.csv,6217.703006986994
40.0,3.906256004003808,1.0,AL240226,AL240226_001_2026-02-24_15h14.11.590.csv,3906.256004003808
40.0,2.7591108080232516,1.0,AL240226,AL240226_001_2026-02-24_15h14.11.590.csv,2759.1108080232516
40.0,1.3715808690176343,1.0,AL240226,AL240226_001_2026-02-24_15h14.11.590.csv,1371.5808690176343
40.0,4.510714119998738,1.0,AL240226,AL240226_001_2026-02-24_15h14.11.590.csv,4510.714119998738
40.0,8.797368100989843,1.0,AL240226,AL240226_001_2026-02-24_15h14.11.590.csv,8797.368100989843
40.0,15.64741901200614,1.0,AL240226,AL240226_001_2026-02-24_15h14.11.590.csv,15647.41901200614
40.0,8.183050856983755,1.0,AL240226,AL240226_001_2026-02-24_15h14.11.590.csv,8183.050856983755
40.0,10.5060844339896,1.0,AL240226,AL240226_001_2026-02-24_15h14.11.590.csv,10506.0844339896
40.0,4.614729091990739,1.0,AL240226,AL240226_001_2026-02-24_15h14.11.590.csv,4614.729091990739
60.0,7.957235258974833,1.0,AL240226,AL240226_001_2026-02-24_15h14.11.590.csv,7957.235258974833
60.0,3.7040187740058177,1.0,AL240226,AL240226_001_2026-02-24_15h14.11.590.csv,3704.0187740058177
60.0,2.0774552640214097,1.0,AL240226,AL240226_001_2026-02-24_15h14.11.590.csv,2077.4552640214097
60.0,4.017264868016355,1.0,AL240226,AL240226_001_2026-02-24_15h14.11.590.csv,4017.2648680163547
60.0,7.7867009050096385,1.0,AL240226,AL240226_001_2026-02-24_15h14.11.590.csv,7786.7009050096385
60.0,2.3546934080077335,1.0,AL240226,AL240226_001_2026-02-24_15h14.11.590.csv,2354.6934080077335
60.0,6.5625274699996226,1.0,AL240226,AL240226_001_2026-02-24_15h14.11.590.csv,6562.527469999623
60.0,3.217024619982112,1.0,AL240226,AL240226_001_2026-02-24_15h14.11.590.csv,3217.024619982112
60.0,6.571402467001462,1.0,AL240226,AL240226_001_2026-02-24_15h14.11.590.csv,6571.402467001462
60.0,6.257873020018451,1.0,AL240226,AL240226_001_2026-02-24_15h14.11.590.csv,6257.873020018451
60.0,8.349565657990752,1.0,AL240226,AL240226_001_2026-02-24_15h14.11.590.csv,8349.565657990752
60.0,7.758113185991533,1.0,AL240226,AL240226_001_2026-02-24_15h14.11.590.csv,7758.113185991533
60.0,3.0111653530038893,1.0,AL240226,AL240226_001_2026-02-24_15h14.11.590.csv,3011.1653530038893
60.0,3.484560627985047,1.0,AL240226,AL240226_001_2026-02-24_15h14.11.590.csv,3484.560627985047
80.0,2.9359991299861576,1.0,AL240226,AL240226_001_2026-02-24_15h14.11.590.csv,2935.9991299861576
80.0,2.4846331339795142,1.0,AL240226,AL240226_001_2026-02-24_15h14.11.590.csv,2484.6331339795142
80.0,4.022788048983784,1.0,AL240226,AL240226_001_2026-02-24_15h14.11.590.csv,4022.7880489837844
80.0,6.194847495004069,1.0,AL240226,AL240226_001_2026-02-24_15h14.11.590.csv,6194.847495004069
80.0,5.425925560994074,1.0,AL240226,AL240226_001_2026-02-24_15h14.11.590.csv,5425.925560994074
80.0,7.48466913899756,1.0,AL240226,AL240226_001_2026-02-24_15h14.11.590.csv,7484.66913899756
80.0,1.8320589269860648,1.0,AL240226,AL240226_001_2026-02-24_15h14.11.590.csv,1832.0589269860648
80.0,2.9342268979817163,1.0,AL240226,AL240226_001_2026-02-24_15h14.11.590.csv,2934.2268979817163
80.0,2.461448277987074,1.0,AL240226,AL240226_001_2026-02-24_15h14.11.590.csv,2461.448277987074
80.0,1.9908126740192529,1.0,AL240226,AL240226_001_2026-02-24_15h14.11.590.csv,1990.8126740192529
80.0,2.1580141769954935,1.0,AL240226,AL240226_001_2026-02-24_15h14.11.590.csv,2158.0141769954935
80.0,2.4515162970055826,1.0,AL240226,AL240226_001_2026-02-24_15h14.11.590.csv,2451.5162970055826
80.0,3.356229564989917,1.0,AL240226,AL240226_001_2026-02-24_15h14.11.590.csv,3356.229564989917
80.0,7.080484269012231,1.0,AL240226,AL240226_001_2026-02-24_15h14.11.590.csv,7080.484269012231
80.0,6.214019045990426,1.0,AL240226,AL240226_001_2026-02-24_15h14.11.590.csv,6214.019045990426
100.0,3.71194453901262,1.0,AL240226,AL240226_001_2026-02-24_15h14.11.590.csv,3711.9445390126198
100.0,7.785223223007051,1.0,AL240226,AL240226_001_2026-02-24_15h14.11.590.csv,7785.223223007051
100.0,4.146586323011434,1.0,AL240226,AL240226_001_2026-02-24_15h14.11.590.csv,4146.586323011434
100.0,1.542552055005217,1.0,AL240226,AL240226_001_2026-02-24_15h14.11.590.csv,1542.552055005217
100.0,3.2612382160150446,1.0,AL240226,AL240226_001_2026-02-24_15h14.11.590.csv,3261.2382160150446
100.0,26.288699902012013,1.0,AL240226,AL240226_001_2026-02-24_15h14.11.590.csv,26288.699902012013
100.0,6.679978600994218,1.0,AL240226,AL240226_001_2026-02-24_15h14.11.590.csv,6679.978600994218
100.0,7.361115274019539,1.0,AL240226,AL240226_001_2026-02-24_15h14.11.590.csv,7361.115274019539
100.0,1.964255708997371,1.0,AL240226,AL240226_001_2026-02-24_15h14.11.590.csv,1964.255708997371
100.0,5.888014291005675,1.0,AL240226,AL240226_001_2026-02-24_15h14.11.590.csv,5888.014291005675
100.0,11.097436750977067,1.0,AL240226,AL240226_001_2026-02-24_15h14.11.590.csv,11097.436750977067
100.0,2.744156972010387,1.0,AL240226,AL240226_001_2026-02-24_15h14.11.590.csv,2744.156972010387
100.0,3.5623905429965816,1.0,AL240226,AL240226_001_2026-02-24_15h14.11.590.csv,3562.3905429965816
100.0,8.003656651009806,1.0,AL240226,AL240226_001_2026-02-24_15h14.11.590.csv,8003.6566510098055
120.0,8.239166382991243,1.0,AL240226,AL240226_001_2026-02-24_15h14.11.590.csv,8239.166382991243
120.0,2.0806423030153383,1.0,AL240226,AL240226_001_2026-02-24_15h14.11.590.csv,2080.6423030153383
120.0,4.774849249020917,1.0,AL240226,AL240226_001_2026-02-24_15h14.11.590.csv,4774.849249020917
120.0,4.478886823984794,1.0,AL240226,AL240226_001_2026-02-24_15h14.11.590.csv,4478.886823984794
120.0,2.0448959649947938,1.0,AL240226,AL240226_001_2026-02-24_15h14.11.590.csv,2044.8959649947938
120.0,6.363584657985484,1.0,AL240226,AL240226_001_2026-02-24_15h14.11.590.csv,6363.584657985484
120.0,9.668606566003293,1.0,AL240226,AL240226_001_2026-02-24_15h14.11.590.csv,9668.606566003293
120.0,2.2280864600033965,1.0,AL240226,AL240226_001_2026-02-24_15h14.11.590.csv,2228.0864600033965
120.0,2.2426065190229565,1.0,AL240226,AL240226_001_2026-02-24_15h14.11.590.csv,2242.6065190229565
120.0,2.5020665710035246,1.0,AL240226,AL240226_001_2026-02-24_15h14.11.590.csv,2502.0665710035246
120.0,9.498213262995703,1.0,AL240226,AL240226_001_2026-02-24_15h14.11.590.csv,9498.213262995703
120.0,2.341220212983899,1.0,AL240226,AL240226_001_2026-02-24_15h14.11.590.csv,2341.220212983899
120.0,4.691955093992874,1.0,AL240226,AL240226_001_2026-02-24_15h14.11.590.csv,4691.955093992874
140.0,7.2987395219970495,1.0,AL240226,AL240226_001_2026-02-24_15h14.11.590.csv,7298.739521997049
140.0,8.972216057998594,1.0,AL240226,AL240226_001_2026-02-24_15h14.11.590.csv,8972.216057998594
140.0,6.826103399012936,1.0,AL240226,AL240226_001_2026-02-24_15h14.11.590.csv,6826.103399012936
140.0,7.628176653000992,1.0,AL240226,AL240226_001_2026-02-24_15h14.11.590.csv,7628.176653000992
140.0,7.248397653980646,1.0,AL240226,AL240226_001_2026-02-24_15h14.11.590.csv,7248.397653980646
140.0,5.7271762560121715,1.0,AL240226,AL240226_001_2026-02-24_15h14.11.590.csv,5727.1762560121715
140.0,6.980637855012901,1.0,AL240226,AL240226_001_2026-02-24_15h14.11.590.csv,6980.637855012901
140.0,1.539380564005114,1.0,AL240226,AL240226_001_2026-02-24_15h14.11.590.csv,1539.380564005114
140.0,9.4325306279934,1.0,AL240226,AL240226_001_2026-02-24_15h14.11.590.csv,9432.5306279934
140.0,2.8724323060014285,1.0,AL240226,AL240226_001_2026-02-24_15h14.11.590.csv,2872.4323060014285
140.0,3.903965626988793,1.0,AL240226,AL240226_001_2026-02-24_15h14.11.590.csv,3903.965626988793
140.0,5.1223049259861,1.0,AL240226,AL240226_001_2026-02-24_15h14.11.590.csv,5122.3049259861
140.0,10.70581832199241,1.0,AL240226,AL240226_001_2026-02-24_15h14.11.590.csv,10705.81832199241
140.0,16.28652422199957,1.0,AL240226,AL240226_001_2026-02-24_15h14.11.590.csv,16286.52422199957
160.0,5.494813725003041,1.0,AL240226,AL240226_001_2026-02-24_15h14.11.590.csv,5494.813725003041
160.0,2.7653672830201685,1.0,AL240226,AL240226_001_2026-02-24_15h14.11.590.csv,2765.3672830201685
160.0,9.256146964005891,1.0,AL240226,AL240226_001_2026-02-24_15h14.11.590.csv,9256.146964005891
160.0,2.074124800012214,1.0,AL240226,AL240226_001_2026-02-24_15h14.11.590.csv,2074.124800012214
160.0,7.093241646012757,1.0,AL240226,AL240226_001_2026-02-24_15h14.11.590.csv,7093.241646012757
160.0,3.4497912650112994,1.0,AL240226,AL240226_001_2026-02-24_15h14.11.590.csv,3449.7912650112994
160.0,5.082402079977328,1.0,AL240226,AL240226_001_2026-02-24_15h14.11.590.csv,5082.402079977328
160.0,7.769777428999077,1.0,AL240226,AL240226_001_2026-02-24_15h14.11.590.csv,7769.777428999077
160.0,2.607203264022246,1.0,AL240226,AL240226_001_2026-02-24_15h14.11.590.csv,2607.203264022246
160.0,3.660599082999397,1.0,AL240226,AL240226_001_2026-02-24_15h14.11.590.csv,3660.599082999397
0.0,5.279114486009348,1.0,BES240226,BES240226_001_2026-02-24_14h06.32.478.csv,5279.114486009348
0.0,2.0267785119940527,1.0,BES240226,BES240226_001_2026-02-24_14h06.32.478.csv,2026.7785119940527
0.0,1.2647412680089474,1.0,BES240226,BES240226_001_2026-02-24_14h06.32.478.csv,1264.7412680089474
0.0,1.6147412709833588,1.0,BES240226,BES240226_001_2026-02-24_14h06.32.478.csv,1614.7412709833588
0.0,1.423032727005193,1.0,BES240226,BES240226_001_2026-02-24_14h06.32.478.csv,1423.032727005193
0.0,1.5002927469904537,1.0,BES240226,BES240226_001_2026-02-24_14h06.32.478.csv,1500.2927469904537
0.0,1.222172189009143,1.0,BES240226,BES240226_001_2026-02-24_14h06.32.478.csv,1222.172189009143
0.0,2.5964209230151027,1.0,BES240226,BES240226_001_2026-02-24_14h06.32.478.csv,2596.4209230151027
0.0,0.7530518770217896,1.0,BES240226,BES240226_001_2026-02-24_14h06.32.478.csv,753.0518770217896
0.0,1.2191778350097593,1.0,BES240226,BES240226_001_2026-02-24_14h06.32.478.csv,1219.1778350097593
0.0,0.9070836920000148,1.0,BES240226,BES240226_001_2026-02-24_14h06.32.478.csv,907.0836920000148
0.0,1.828955634002341,1.0,BES240226,BES240226_001_2026-02-24_14h06.32.478.csv,1828.955634002341
0.0,4.312049005995505,1.0,BES240226,BES240226_001_2026-02-24_14h06.32.478.csv,4312.049005995505
0.0,2.275853088009171,1.0,BES240226,BES240226_001_2026-02-24_14h06.32.478.csv,2275.853088009171
20.0,1.5656163899984676,1.0,BES240226,BES240226_001_2026-02-24_14h06.32.478.csv,1565.6163899984676
20.0,1.3912436880054884,1.0,BES240226,BES240226_001_2026-02-24_14h06.32.478.csv,1391.2436880054884
20.0,1.573492046998581,1.0,BES240226,BES240226_001_2026-02-24_14h06.32.478.csv,1573.492046998581
20.0,1.5650419770099688,1.0,BES240226,BES240226_001_2026-02-24_14h06.32.478.csv,1565.0419770099688
20.0,1.3090691389807034,1.0,BES240226,BES240226_001_2026-02-24_14h06.32.478.csv,1309.0691389807034
20.0,2.0079049930209294,1.0,BES240226,BES240226_001_2026-02-24_14h06.32.478.csv,2007.9049930209294
20.0,1.7316690770094283,1.0,BES240226,BES240226_001_2026-02-24_14h06.32.478.csv,1731.6690770094283
20.0,1.5126986959949136,1.0,BES240226,BES240226_001_2026-02-24_14h06.32.478.csv,1512.6986959949136
20.0,4.446811103989603,1.0,BES240226,BES240226_001_2026-02-24_14h06.32.478.csv,4446.811103989603
20.0,2.0078653230157215,1.0,BES240226,BES240226_001_2026-02-24_14h06.32.478.csv,2007.8653230157215
20.0,1.6736287329986226,1.0,BES240226,BES240226_001_2026-02-24_14h06.32.478.csv,1673.6287329986226
20.0,1.29981654099538,1.0,BES240226,BES240226_001_2026-02-24_14h06.32.478.csv,1299.81654099538
20.0,1.986722527013626,1.0,BES240226,BES240226_001_2026-02-24_14h06.32.478.csv,1986.722527013626
20.0,2.0017346530221403,1.0,BES240226,BES240226_001_2026-02-24_14h06.32.478.csv,2001.7346530221403
20.0,2.3026197889994364,1.0,BES240226,BES240226_001_2026-02-24_14h06.32.478.csv,2302.6197889994364
20.0,2.5312884309969377,1.0,BES240226,BES240226_001_2026-02-24_14h06.32.478.csv,2531.2884309969377
40.0,1.4841323560103774,1.0,BES240226,BES240226_001_2026-02-24_14h06.32.478.csv,1484.1323560103774
40.0,2.4241012209968176,1.0,BES240226,BES240226_001_2026-02-24_14h06.32.478.csv,2424.1012209968176
40.0,2.9810215100005735,1.0,BES240226,BES240226_001_2026-02-24_14h06.32.478.csv,2981.0215100005735
40.0,2.1333205190021545,1.0,BES240226,BES240226_001_2026-02-24_14h06.32.478.csv,2133.3205190021545
40.0,2.566023541003233,1.0,BES240226,BES240226_001_2026-02-24_14h06.32.478.csv,2566.023541003233
40.0,1.3637750069901813,1.0,BES240226,BES240226_001_2026-02-24_14h06.32.478.csv,1363.7750069901813
40.0,2.243601205002051,1.0,BES240226,BES240226_001_2026-02-24_14h06.32.478.csv,2243.601205002051
40.0,1.5620672549994197,1.0,BES240226,BES240226_001_2026-02-24_14h06.32.478.csv,1562.0672549994197
40.0,0.9644782989926172,1.0,BES240226,BES240226_001_2026-02-24_14h06.32.478.csv,964.4782989926172
40.0,1.4950793770258315,1.0,BES240226,BES240226_001_2026-02-24_14h06.32.478.csv,1495.0793770258315
40.0,1.4430504319898318,1.0,BES240226,BES240226_001_2026-02-24_14h06.32.478.csv,1443.0504319898318
40.0,1.631210175983142,1.0,BES240226,BES240226_001_2026-02-24_14h06.32.478.csv,1631.210175983142
40.0,1.1895318169845268,1.0,BES240226,BES240226_001_2026-02-24_14h06.32.478.csv,1189.5318169845268
40.0,1.5139062560047023,1.0,BES240226,BES240226_001_2026-02-24_14h06.32.478.csv,1513.9062560047023
60.0,1.7766237239993643,1.0,BES240226,BES240226_001_2026-02-24_14h06.32.478.csv,1776.6237239993643
60.0,1.7483697299903724,1.0,BES240226,BES240226_001_2026-02-24_14h06.32.478.csv,1748.3697299903724
60.0,2.9958636469964404,1.0,BES240226,BES240226_001_2026-02-24_14h06.32.478.csv,2995.8636469964404
60.0,3.8602737369947135,1.0,BES240226,BES240226_001_2026-02-24_14h06.32.478.csv,3860.2737369947135
60.0,1.801878102996852,1.0,BES240226,BES240226_001_2026-02-24_14h06.32.478.csv,1801.878102996852
60.0,4.368202050012769,1.0,BES240226,BES240226_001_2026-02-24_14h06.32.478.csv,4368.202050012769
60.0,1.9523550889862236,1.0,BES240226,BES240226_001_2026-02-24_14h06.32.478.csv,1952.3550889862236
60.0,2.123059887002455,1.0,BES240226,BES240226_001_2026-02-24_14h06.32.478.csv,2123.059887002455
60.0,1.708284521009773,1.0,BES240226,BES240226_001_2026-02-24_14h06.32.478.csv,1708.284521009773
60.0,1.4719065430108458,1.0,BES240226,BES240226_001_2026-02-24_14h06.32.478.csv,1471.9065430108458
60.0,3.842539116012631,1.0,BES240226,BES240226_001_2026-02-24_14h06.32.478.csv,3842.539116012631
60.0,1.62625782500254,1.0,BES240226,BES240226_001_2026-02-24_14h06.32.478.csv,1626.25782500254
60.0,2.103343257011147,1.0,BES240226,BES240226_001_2026-02-24_14h06.32.478.csv,2103.343257011147
60.0,2.055271093995543,1.0,BES240226,BES240226_001_2026-02-24_14h06.32.478.csv,2055.271093995543
80.0,1.890778564003995,1.0,BES240226,BES240226_001_2026-02-24_14h06.32.478.csv,1890.778564003995
80.0,1.536685410013888,1.0,BES240226,BES240226_001_2026-02-24_14h06.32.478.csv,1536.685410013888
80.0,1.6277311260055285,1.0,BES240226,BES240226_001_2026-02-24_14h06.32.478.csv,1627.7311260055285
80.0,2.2110263829817995,1.0,BES240226,BES240226_001_2026-02-24_14h06.32.478.csv,2211.0263829817995
80.0,1.936285489005968,1.0,BES240226,BES240226_001_2026-02-24_14h06.32.478.csv,1936.285489005968
80.0,2.2343113950046245,1.0,BES240226,BES240226_001_2026-02-24_14h06.32.478.csv,2234.3113950046245
80.0,3.3780809309973847,1.0,BES240226,BES240226_001_2026-02-24_14h06.32.478.csv,3378.0809309973847
80.0,2.8645167149952613,1.0,BES240226,BES240226_001_2026-02-24_14h06.32.478.csv,2864.5167149952613
80.0,1.999805200000992,1.0,BES240226,BES240226_001_2026-02-24_14h06.32.478.csv,1999.805200000992
80.0,1.8998525929928292,1.0,BES240226,BES240226_001_2026-02-24_14h06.32.478.csv,1899.8525929928292
80.0,3.0579151590063702,1.0,BES240226,BES240226_001_2026-02-24_14h06.32.478.csv,3057.9151590063702
80.0,2.0096062739903573,1.0,BES240226,BES240226_001_2026-02-24_14h06.32.478.csv,2009.6062739903573
80.0,8.791742264002096,1.0,BES240226,BES240226_001_2026-02-24_14h06.32.478.csv,8791.742264002096
